# of thread	"BarFS"		"BarFS"		"BarFS"		"BarFS"
1		3400.037	4272.185	8574.45		269
2		4629.643	4794.304	14462.6		332
5		6518.936	7163.267	17325		589
10		10617.273	12483.968	26999.3		1001
20		17521.208	22003.531	52932.5		1792
30		17986.418	28800.347	81210.1		2496
40		17383.126	32447.009	107312		3118
