# of thread	"Ext4 (default - 5.18.18)"	"BarFS (5.18.18)"	"Ext4 (Fast Commit - 5.18.18)"	"MV  (v5f5) (5.18.18)"	"SpanFS (3.18.22)"
1	1836	4272	1914	4242	1355
2	1925	4794	2902	4877	1447
5	4430	7163	5652	8675	1663
10	8293	12484	8966	15083	1705
20	15498	22004	14285	25451	2048
30	21313	28800	18362	32644	2258
40	26711	32447	22745	35231	2248
