# of thread	"Ext4"		"Ext4"		"Ext4"		"Ext4"
1	1343	1355	4126	160
2	1477	1447	4420	163
5	1952	1663	5707	216
10	2319	1705	5963	265
20	2487	2048	6054	317
30	2639	2258	6310	333
40	2690	2248	6855	359
