# of thread	"Ext4"		"Ext4"		"Ext4"		"Ext4"
1	1903	1914	4880	307	107
2	2866	2902	5530	593	147
5	4888	5652	12983	937	300
10	6073	8966	24092	1350	507
20	6487	14285	42561	2304	972
30	7084	18362	57391	2998	1515
40	7589	22745	70001	3504	1941
