# of thread	"Ext4	"BarFS	"MV-3 "MV-5" 
1	1685	3400	3797	3806
2	1899	4630	4643	4585
5	4413	6519	7908	8214
10	8409	10617	12297	14905
20	16192	17521	21818	25922
30	22684	17986	30913	36974
40	29831	17383	39782	47552
